Gene,Importance
gene_6876,0.009971286280737316
gene_203,0.008472297232309616
gene_15895,0.008129683107716593
gene_1858,0.008096165926770866
gene_18746,0.007883348653051535
gene_1516,0.007363441773334751
gene_7964,0.007301888424180871
gene_17904,0.006763611513707559
gene_17801,0.006748993755733858
gene_6748,0.0061011739238143355
gene_7896,0.006038685606529029
gene_6530,0.005866310566895335
gene_14177,0.005707909870953115
gene_15898,0.005525221131181059
gene_18135,0.005453124885893603
gene_2778,0.005384422763590048
gene_6816,0.005285756349495444
gene_15906,0.005189694332036559
gene_12983,0.005167246701191107
gene_13513,0.005024613435430061
