Gene,Importance
gene_14092,0.011416506970264986
gene_15897,0.009049662953463423
gene_14068,0.008826530262716833
gene_6530,0.008354993153933826
gene_7964,0.008346681238743946
gene_5598,0.008129353420031264
gene_15987,0.00806262033912089
gene_15591,0.007649404658492922
gene_8004,0.007228325475552835
gene_1122,0.00703712341397097
gene_1750,0.005888592471590859
gene_5578,0.005628771494740535
gene_8349,0.00552259107393924
gene_7896,0.005457960424626052
gene_16169,0.005197792776514252
gene_11124,0.005103908944724646
gene_16131,0.00509933914069544
gene_6876,0.005097356623260429
gene_17904,0.005034548778014063
gene_11059,0.005025579384899861
gene_8014,0.004920199160320294
gene_9176,0.0048743321735254955
gene_9173,0.004873729511796778
gene_1923,0.004873630608527292
gene_12568,0.0048598093901390405
gene_8831,0.004843007072672364
gene_5722,0.00483583462589326
gene_3493,0.004779388297889404
gene_2951,0.004767555966852849
gene_4178,0.0047385854011882285
gene_1625,0.004712056328234653
gene_16316,0.004705874109091448
gene_16337,0.004688694808763643
gene_9075,0.004648775397012092
gene_12262,0.0046281990245970765
gene_1510,0.004622418514281801
gene_17801,0.004498229750387129
gene_7350,0.004430553568405551
gene_11566,0.004402984057267533
gene_8801,0.004299969511690709
gene_10284,0.004218929248508339
gene_12808,0.004161864830870121
gene_219,0.004113862478591064
gene_753,0.004099277816986883
gene_1516,0.0040496511052554585
gene_8220,0.004038192382359813
gene_12245,0.003980309731718578
gene_1544,0.003952947781451714
gene_18203,0.003913727596651682
gene_9979,0.0038569578873288105
gene_15896,0.003832190962455749
gene_1189,0.0036459623345862667
gene_7379,0.003596779767256941
gene_14840,0.003589937390442216
gene_5189,0.0035692374859725927
gene_14427,0.0035606410036119586
gene_3861,0.003519405148906908
gene_15589,0.0034356038724489063
gene_2928,0.0034338995098169333
gene_4773,0.003383772233862001
gene_14798,0.0033425589688013575
gene_16358,0.0032876872612038087
gene_11910,0.0032476558527598067
gene_4057,0.0031791164265440037
gene_17993,0.003173453805430209
gene_357,0.0031593231885657584
gene_15893,0.003081631655640956
gene_2318,0.0030564753651532617
gene_5577,0.003011768868896384
gene_15865,0.003007496853871882
gene_18135,0.002960657980072747
gene_11903,0.0029460117745370106
gene_17905,0.0029337103520758693
gene_9652,0.002921835132705025
gene_15895,0.0029007941021666527
gene_9529,0.0028880056283064315
gene_2778,0.002865023036317644
gene_19339,0.002850385875048686
gene_706,0.0028028455854385115
gene_5830,0.0028004687785358764
gene_15709,0.0027844349821401332
gene_13976,0.002781025028828664
gene_2747,0.002777680985187058
gene_628,0.0027725541805154767
gene_19606,0.002764663726317001
gene_8099,0.002752022379612723
gene_221,0.002734778614422058
gene_10854,0.002721875231245311
gene_6410,0.002708277660986328
gene_13998,0.002698312362451222
gene_1482,0.0026606571387937485
gene_13833,0.002657690127294614
gene_3219,0.0026419103286657196
gene_5202,0.0026321449964125014
gene_8322,0.002627890127471484
gene_18447,0.0026233208429398474
gene_8002,0.002596368819910782
gene_10731,0.002594501893029519
gene_14114,0.002575658935447036
gene_18753,0.00255892009621976
